customerID,Churn_Probability,Risk_Level,Contract,MonthlyCharges
5178-LMXOP,0.9604877,High Risk,Month-to-month,95.1
6857-VWJDT,0.9581222,High Risk,Month-to-month,95.65
1069-XAIEM,0.9578465,High Risk,Month-to-month,85.05
8375-DKEBR,0.9530955,High Risk,Month-to-month,69.6
3722-WPXTK,0.9497627,High Risk,Month-to-month,88.35
5539-TMZLF,0.94581187,High Risk,Month-to-month,69.75
6521-YYTYI,0.9456915,High Risk,Month-to-month,93.3
0970-ETWGE,0.94524074,High Risk,Month-to-month,89.55
2609-IAICY,0.9444577,High Risk,Month-to-month,77.15
0679-IDSTG,0.9438257,High Risk,Month-to-month,69.25
6372-RFVNS,0.9435788,High Risk,Month-to-month,78.8
2867-UIMSS,0.94316703,High Risk,Month-to-month,80.5
1448-PWKYE,0.9429351,High Risk,Month-to-month,80.0
6861-XWTWQ,0.9421055,High Risk,Month-to-month,99.25
7409-KIUTL,0.94104874,High Risk,Month-to-month,71.0
7180-PISOG,0.94076526,High Risk,Month-to-month,74.5
6910-HADCM,0.940611,High Risk,Month-to-month,76.35
0655-RBDUG,0.93943816,High Risk,Month-to-month,98.05
4415-IJZTP,0.9390347,High Risk,Month-to-month,74.5
9940-RHLFB,0.93852544,High Risk,Month-to-month,75.3
1853-UDXBW,0.9370915,High Risk,Month-to-month,70.0
8821-XNHVZ,0.9370345,High Risk,Month-to-month,80.05
3006-XIMLN,0.9361244,High Risk,Month-to-month,94.2
0235-KGSLC,0.9359289,High Risk,Month-to-month,85.55
1820-TQVEV,0.9357015,High Risk,Month-to-month,69.55
9804-ICWBG,0.9355754,High Risk,Month-to-month,69.9
7465-ZZRVX,0.9355754,High Risk,Month-to-month,70.35
3244-DCJWY,0.9355754,High Risk,Month-to-month,70.25
5542-TBBWB,0.9355754,High Risk,Month-to-month,69.9
1640-PLFMP,0.9355754,High Risk,Month-to-month,70.25
5376-DEQCP,0.9355754,High Risk,Month-to-month,70.6
7398-SKNQZ,0.9289581,High Risk,Month-to-month,94.9
9057-SIHCH,0.92863995,High Risk,Month-to-month,96.6
4060-LDNLU,0.9278858,High Risk,Month-to-month,96.2
4713-LZDRV,0.9272717,High Risk,Month-to-month,79.6
9507-EXLTT,0.9264632,High Risk,Month-to-month,79.35
